time,open,high,low,close,tick_volume,spread,real_volume,mma_20
2021-08-05,121832.0,123541.0,121128.0,121633.0,6488325,0,3283149800,125192.75
2021-08-06,121633.0,123287.0,121568.0,122810.0,1633537,0,753181700,125061.85
2021-08-09,122809.0,123597.0,122259.0,123019.0,1620674,0,720679200,124833.1
2021-08-10,123021.0,123513.0,122062.0,122203.0,1722097,0,832719600,124534.85
2021-08-11,122204.0,122756.0,120827.0,122056.0,1744028,0,871691700,124217.3
2021-08-12,122056.0,122095.0,120534.0,120701.0,2148106,0,1112086800,123878.95
2021-08-13,120701.0,121275.0,120045.0,121194.0,2284857,0,1076196800,123640.65
2021-08-16,121192.0,121192.0,118684.0,119180.0,2584965,0,1023646500,123379.9
2021-08-17,119176.0,119177.0,116248.0,117904.0,2676583,0,1173051700,123005.05
2021-08-18,117904.0,118739.0,116489.0,116643.0,2826119,0,1224365100,122540.75
2021-08-19,116641.0,117453.0,114801.0,117165.0,2377370,0,1094463800,122091.65
2021-08-20,117163.0,118308.0,116040.0,118053.0,1955861,0,925356800,121741.65
2021-08-23,118053.0,118445.0,117062.0,117472.0,1784310,0,812168200,121315.05
2021-08-24,117474.0,120463.0,117474.0,120211.0,1778118,0,918102100,121095.0
2021-08-25,120217.0,120818.0,119226.0,120818.0,1679755,0,752013700,120821.6
2021-08-26,120818.0,120833.0,118719.0,118724.0,1802787,0,842667400,120474.05
2021-08-27,118725.0,120678.0,118721.0,120678.0,1535747,0,732351700,120417.9
2021-08-30,120677.0,120685.0,119354.0,119740.0,1477262,0,639119900,120279.1
2021-08-31,119738.0,120157.0,117911.0,118781.0,2005174,0,1153556200,120039.3
2021-09-01,118819.0,119942.0,118067.0,119396.0,2088056,0,952652500,119919.05
2021-09-02,119395.0,119397.0,116534.0,116677.0,2224100,0,986479300,119671.25
2021-09-03,116679.0,117396.0,115583.0,116933.0,2023745,0,1251797900,119377.4
2021-09-06,116897.0,117981.0,116156.0,117869.0,3702832,0,1621571600,119119.9
2021-09-08,117866.0,117866.0,113172.0,113413.0,2841578,0,1225418500,118680.4
2021-09-09,113413.0,116354.0,112435.0,115361.0,2701170,0,1389110500,118345.65
2021-09-10,115370.0,116897.0,114286.0,114286.0,2400841,0,1116014900,118024.9
2021-09-13,114301.0,117046.0,114301.0,116404.0,1883153,0,925307700,117785.4
2021-09-14,116405.0,117270.0,115809.0,116181.0,1853528,0,903396900,117635.45
2021-09-15,116191.0,116312.0,114741.0,115063.0,1948057,0,945633500,117493.4
2021-09-16,115062.0,115062.0,113395.0,113794.0,1932941,0,1068424200,117350.95
2021-09-17,113794.0,113794.0,111157.0,111439.0,2283053,0,1482752400,117064.65
2021-09-20,111432.0,111432.0,107520.0,108844.0,7130072,0,3484305200,116604.2
2021-09-21,109145.0,110923.0,108958.0,110250.0,2077967,0,1124733100,116243.1
2021-09-22,110252.0,113321.0,110251.0,112282.0,2235513,0,1221662500,115846.65
2021-09-23,112282.0,114330.0,112281.0,114064.0,2219826,0,1147607500,115508.95
2021-09-24,114061.0,114061.0,112505.0,113283.0,1894685,0,912353200,115236.9
2021-09-27,113283.0,114432.0,112360.0,113583.0,2119469,0,1079836000,114882.15
2021-09-28,113584.0,113584.0,109981.0,110124.0,2458235,0,1319975300,114401.35
2021-09-29,110125.0,112028.0,110125.0,111107.0,2146608,0,1139479600,114017.65
2021-09-30,111117.0,112371.0,110743.0,110979.0,2468479,0,1316060600,113596.8
2021-10-01,110980.0,113020.0,110980.0,112900.0,46488998,0,23837432800,113407.95
